"cleaned_comment","likes_count"
"gak perlu menghujat,,kaya lu udh sempurna aja,,,kita juga harus terimakasih karena beliau udh jaga ekonomi tetap stabil disaat banyak negara lain terpuruk karena tekanan global,,,jangan cuma liat sisi kekurangannya aja","10"
"sri mulyono?","6"
"uh itu mah jauh beda yg sblmnya ngeret uang negara","2"
"klo sy ga salah' kan bu sri... jokowi pembangunan infrastruktur yg ugalan2 ga di imbangi isi dompet solusi nya efisiensi . naikkan pajak ga cukup akhirnya ngutang lg...dan lg","3"
"makasih para pendemo kemaren,alfatiha buat affan","5"
"turunkan sampoerna mild kuh jadi 15 ribu lagi","6"
"stst kan anak buah megawati","1"
"gw kira gua donk ya ga suka sama srimulat. ternyata ada juga, soalnya banyak ekonom2 youtuber bilang bagus, lah karena parameternya ihsg bagus... bagusnya dari mana dah??? pajak...pajak...pajak... anak sd juga bisa jadi mentri kalau cuman ambil pajak doank jir...","5"
"ilmu dan adab mmg hrs sejalan. ternyata selama 10 tahun rakyat hanya dibebani pajak...","4"
"belum tentu hasilnya, baru menjabat. kt tunggu beberapa bulan ke depan apa ada perbaikan.","1"
"srimulat nyari aman","1"
"bu srimul mentri yg di percaya nyari utang","0"
"sri wis minggat, semoga ga balek lagi.","0"
"sales imf","0"
"ama sri makan pun kena pajak","0"
"saya suka mentri sekarang,gaya kepemimoinan koboy tapi jika ngelucu kayak komedi srimulat.bukan srimulat yg itu tapi.","0"
"srimuluuuutt","0"
"sri minggat","0"
"belum bisa menilai,kerja belum 1 thn tapi kita lihat sama2 nanti","0"
"ini baru keren menteri keuangan, menteri bekerja untuk rakyat indonesia,dari masyarakat, karyawan,pengusaha juga","0"
"baru kali ini saya merasa mempunyai menteri yg sangat pro rakyat mantabb pak purba","139"
"lama² gue suka ni sama pak menteri,,, beliau santai dan ngena, dan memikirkan kalangan bawah,, semoga akan kuat ekonomi mikro tahun depan,,,","138"
"yg penting rakyat jangan terbeban lagi pajak .dan harga sembako.rokok perlu diturun kan harga nya rakyat berharap mentri keungan yg baru jangan terikut ikut sri mulyani mentri baru harus ada perubahan","5"
"analisisnya keren diimbangi dengan solusi yg dapat mengakomodir kepentingan semua pihak. bukan asal jadi tanpa pernah mempertimbangkan solusi bagi masyarakat terdampak. gass terus pak mentri.","44"
"rencana dia mau ke jawa timur, denger pendapat dengan pengusaha rokok","1"
"ciri2 orang sunda itu humoris tpi tegas saya yakin kang purbaya akan membawa ekonomi indonesia semakin meningkat","109"
"cocok nih sama kdm klo dipasangin buat 2029","4"
"yg kemaren srimulat! aslinya orang mana ya?","0"
"kdm masih takluk tunduk sama oligarki, ga akan beda sama jokowi... pak anies dan pak tom tidak tunduk sama oligarki dan pro rakyat","2"
"karena gubernur jabar yang sekarang berasal dari partai yang sama dengan partai ri 1","0"
"rokok dipajak tinggi maupun rendah smaa saja yg ngerokok tetap tidak berhenti ngerokok...jdi naikin pajak itu bukan alasan..biarkan saja pajak kecilkan yg penting penyerapan tenaga kerja tetap bagus...","141"
"setuju,, perusahaan rokok dipajak tinggi rokok ilegal dibiarkan beredar bebas","17"
"cukai roko turun gg,djarum,sampoerna laku keras lagi dan roko2 lokal jd kurang diminati kembali. ya sama aja dr segi penyerapan tenaga kerja,, tp peroko dan perusahaan gede yg seneng","6"
"nah bener orang malah beralih ke rokok ilegal artinya justru ini malah menimbulkan masalah baru, karna rokok ilegal bebas cukai artinya ga memberikan kontribusi kepada pendapatan negra , orang tetep rokok dan mencari rokok murah disis lain negara gadapet duit di sisi lain lagi perusahaan rokok legal yang selama ini dicekek cukai tinggi terancam bangkrut bukan cuma negara yang rugi tapi juga masyarakat yg slama ini bekerta di prusaan rokok legal yang memberikan kontribusi pada negara ikutan hilang juga dan paling parahnya menimbulkan pengangguran baru","8"
"bukan masalah roko mahal di beli tapi banyak pabrik roko tutup pekerja nya kena phk itu intinya","4"
"betul","0"
"sri mulyani ibarat membabat hutan untuk mendapatkan keuntungan,tapi tdk menyiapkan solusi bencana yg di timbulkan,ujung2 nya rakyat jadi korban","4"
"betul. karena itu juga rantai pengaruhnya panjang, sampai ke petani tembakau.","2"
"harga rokok bakal turun? ga bakal mungkin cuy, ada elite global dibelakangnnya. tau kan nicotine war. apalagi direzim ini.","0"
"pcm mah bang kalau perokok itu dilarang dg dinaikkan cukainya. dr dahulu masyarakat indonesia rata rata perokok berat. masalah penyakit mah tergantung diri masing masing. mau dibarengin dg hidup sehat tidak?","1"
"terimakasih pak menteri. gebrakan mu diawal bertugas luar biasa dampaknya bagi ekonomi negeri ini. bravo pak purbaya.","86"
"bukan kaleng kaleng menkeu pak rubaya.. mantap pak..","38"
"kelihatanya pak purbaya orang cerdas yang banyak humor..swmangat pak..smga berhasil.","155"
"kami tunggu pak,semoga terwujud apa yg bapak ucapkan,,amiin","0"
"cara berpikir dan analisa bapak menkeu ini saya suka sekali, dan cara menjelaskan sesuatu sangat bisa dimengerti...smoga pak menkeu sehat selalu dan bisa membuat perubahan yg baik untuk ekonomi indonesia","7"
"penjelasannya pak mentri sangat sederhana dan dapat dipahamai oleh semua kalangan...... sangat masuk akal.","3"
"sangat sedikit pemimpin yang peduli dg hak banyak orang, joss pak!!","59"
"tarif cukai rokok harus diturunkan biar banyak tenaga kerja di pabrik rokok ,salut buat menteri kita ini","11"
"dan biar gw ga beli rokok mahal, itu lebih penting bolo","0"
"semoga senantiasa dilindungi , beliau ini orang baik, dan biasanya orang baik musuhnya banyak","35"
"saya yang gamer saja suka ngikutin tiap konferensi pers dari pak purbaya. pak purbaya membuat masyarakat mudah memahami apa yang dikerjakan oleh beliau. sehat sehat pak purbaya. cara kerja gini nih yang di butuhkan masyarakat. langsung kena dengan apa yang terjadi dilapangan. abs no. ams asal masyarakat senang yes. the real dari rakyat oleh rakyat untuk rakyat. selalu dalam lindungan allah swt. pak.","2"
"pak purbaya menteri idola masyarakat !!","277"
"mantap pak, berarti yg di pecat bisa kerja lagi..","4"
"ah yg benar, menjabat aja blm genap satu bulan, hasil nya aja blm kelihatan terhadap masyarakat, terlalu meindolakam nanti pas tak sesuai hasil kecewa, lalu menghujat ini fakta di masyarakat indonesia","6"
"ahhh kemarin kemarin pas 1 hari baru diangkat suruh di turunkan di demo lagi","3"
"baru sebulan belum ada.... xixixixi","0"
"kata siapa .gaji pensiunan aja ga naik .","0"
"setelah harapan pada kdm alhamdulillah ada satu lagi mudah2 selalu amanah untuk rakyat indonesia pak purbaya.","10"
"harapan mu doang sy mah ngak. purbaya yg terbaik","0"
"ini mentri keuangan yg paling logika dan bener2 memikirkan pengusaha indo dan rakyat semoga indo makin maju dgn kehadiran menbangun ekonom indonesia..","33"
"saya pribadi bangga punya mentri seperti ini , penjelasan nya mudah di mengerti da simpl","2"
"mudah mudahan bapak purbaya yudhi tetap konsisten menjadi diri sendiri yang cerdas,berani dan berintegritas menjaga marwah di kementerian keuangan demi mencapai indonesia maju.","31"
"mentri pak prabowo pak amran dan pak purbaya","15"
"salah satu pejabat yang selalu saya simak tonton sampai tuntas. mantap pak mentri, lanjutkan","33"
"ciri2 orang ahli dalam bidang nya mampu menjelaskan secara simple dan mudah di pahami ke orang yang mendengar","0"
"semoga segera di turunkan cukai hasil tembakau, kami petani tembakau merasakan dampak cukai yg tinggi","65"
"amin","3"
"amin","3"
"gue yakin banyak orang indonesia yang gak tahu, bahwa negara punya ratusan triliun dan belum diapa apain","2"
"jiwanya masih mengakui sebagai ekonom padahal udah jadi mentri, beliau gk perduli dengan jabatan tapi fokus dengan apa yg harus di kerjakan lanjutkan pak","48"
"lah ini bapak ada hati nurani nya","36"
"kalau pak purbaya di ganti sebelum 2029 itu pertanda pak purbaya org baik dan ikhlas untuk negara.","4"
"kok diganti gimana cerita","0"
"semoga dia tidak di singkirkan...indonesia butuh orang yang pandai dan berhati nurani","78"
"ga mungkin bro..dia masih saudara prabowo..jadi aman.. mau saudara asal mikirin rakyat no problem lah bagiku","0"
"intinya nasionalis nya terhadap bangsa,negara dan rakyat","0"
"kebijakan itu tidak selalu abadi baik..ingatlah","0"
"selama geng solo ga macam macam aman","0"
"pak pur bener2 membanggakan..","3"
"enak banget ngobrol nya ..semoga amanah pak mensejahterakan rakyat indonesia rakyat bersama bapa di bandingin sama sri mulyana bagaikan langit dan bumi","47"
"luar biasa pemikiran bapak ini...logic dan simple","1"
"alhamdulillah punya menteri keuangan yang pro rakyat","24"
"semoga menkeu purbaya terus menjadi pelayan rakyat bangsa ini. bukan spt menkeu sebelumnya yg jadi pelayan pejabat tapi menekan rakyat bangsa ini. menkeu purbaya dgn gaya bicaranya yg apa adanya jadi secercah harapan utk indonesia.","1"
"untuk menurunkan konsumsi rokok? justru menambah pabrik rokok ilegal..perokok ga mungkin berhenti justru mereka beralih ke rokok murah..contoh gudang garam berapa tenaga kerja yang diserap hampir kolaps karna cukai..pabrik rokok 100 pakai sdm dalam negeri dipajaki setinggi langit, pajak yg diterima negara pertahun 117t tahun sedangkan tambang yang sdm nya kebanyakan asing dan menyerap sdm sedikit karna ditambang memakai sistem mekanisasi lebih banyak mesin dibanding karyawan dan pendapatan pajak dr tambang cuma 93t tahun...","87"
"benerr","3"
"80 apbn indonesia berasal dari pajak. belum ngerti arti reformasi 1998","2"
"di singapore,, harga 1 kotak rokok marlboro bukan 1 slop ya harga 200rban,,, pajak di sana besar,, ya untuk kurangin perokok dah bener,, karena mereka tidak ada pabrik rokok di sana,, kalo di indonesia, simalakama,, pabrik di indonesia karyawan nya puluhan ribu..","8"
"se7 bro","3"
"menghentikan rokok bukan naikin harga rokok malah bikin masalah baru,tapi menghilangkan budaya rokok di masyarakat,contoh membuat praturan jangan merokok di tempat umum,tempat ibadah tempat makan,sekolah,pasar dll maka perokok akan merasa tertekan,karna budaya nya tidak lagi di akui sebagai hal yg lumrah","5"
"emang duit 200 ribu rupiah di singapura terlihat mahal ya kak jika di lihat dari standar gaji di sana?gaji rata rata penduduk singapura itu 5000an sdg 60 juta rupiah jangan bandingkan dengan indonesia yang pendapatannya cuma 3 juta,membandingkan dengan singapura tidak apple to apple","3"
"klau mau mengurangi konsumsi rokok knpa g di tutup aja pabrik nya, jngan rakyat slalu di jadikan alasan pdhal untuk untuk mengejar ke untungan,","1"
"muantapppp..kang purbaya jngn gentar pak prabowo gak salah kasih posisi menkeu ke aa....nuhun sadayana","1"
"enak ya nanya ke bapak ini, sat set sat set langsung inti inti dan selalu kasih analogi sesederhana mungkin.","3"
"alhamdulkilah ya alloh,, ahirnya ada mentri yg memikirkan rakyst kecil, ya alloh lindungi menkeu l negaraku ini ya alloh","37"
"aamiin..","2"
"menkeu purbaya benar benar memikirkan dengan akal sehat untuk kemaslahatan kebaikan bangsa dan negara ri dengan hati nurani","1"
"mantap ilakes 1. mentri keuangan 2. mentri pertanian","25"
"pak prabowo... bisa gak carikan lagi orang yang seperti pak purbaya? masyarakat jadi adem lihatnya.","1"
"pernah punya dosen gesturnya persis sm pak purbaya,,org spt beliau ini mmg enak diajak ngobrol,,orgnya humble","17"
"dan biasanya tegak lurus ya?","1"
"tiba2 ngasih nilai c","0"
"mantap pak menteri purbaya, ekonomi kita semakin kuat para petani padi,beras, tembakau,kopi,dan rempah rempah.kita sebenarnya kaya alam,beras, tembakau,kopi,teh,merica, rempah rempah,n perkebuan yg hidup seperti sawit,karet.para nelayan ikan..semua ingin indonesia maju,,saling berbagi bersama membangun indonesia yg kita semua cinta.","1"
"setuju pak, org beralih keroyok murah bahkan rokok tanpa cukai, masyarakat tetap merokok, kalo marak tumbuh industri rokok murah tanpa cukai, yg enak kan yg jadi centengnya","22"
"ini bener banget pak menkeu.. sri mulyani nenikkan cukai rokok supaya mendapat perhatian dari dunia , tetapi mengirbankan perusahaan dan karyawan nya , di satu sisi juga dengan naik nya cukai rokok mharga rokok resmi jadi mahal , masyarakat cari rokok lain yg hargnya lebih murah itulah banyak sekali rokok tanpa cukai yg beredar...","4"
"sampai saat ini saya yakin pa purbaya jujur dan bisa di andalkan dan juga bisa di percaya","37"
"satu satunya menteri yang kitanya pengen banget ndengerin dia ngomong sampai habis bahasanya santai dan sederhana mudah dicerna. semoga amanah dan sehat selalu pak menteri ...","0"
"ini sangat baik. sangat cermat kita tgu pak","44"
"alhamdulillah pak mentri keuangan purbaya bekerja untuk mensejahterakan rakyat indonesia semoga ekonomi segera membaik maju terus pak purbaya demi nkri rakyat selalu bersamamu","1"
"pandangan jiwa realistis sebut saja pak prabowo, kdm, pak purbaya dan seterusnya semoga membuat indonesia makin maju inshaallah","57"
"kdm?","2"
"kdm mulyono jilid ii","1"
"saya dukung prabowo ,saya dukung pak purbaya ,namun untuk kdm saya ragu","1"
"betul bro kdm mantap, jadi pasti banyak juga musuh nya...","0"
"si k ngonten ?","1"
"sy bukan org sunda tp sy senang dgn pak purbaya jelas.lugas.klw mnsia sensi jgn dgr beliau bicara. khusus nya termul ntr kejang2","14"
"suka sekali cara bapak menteri.satu ini saat memaparkan permasalahan ekonomi negeri ini yang carut marut. dari beliaulah kita tahu betapa selama ini kebijakan tumpang tindih. demi satu yang lebih baik , tapi tidak pikirkan dampak dari industri yang dibunuh istilah beliau. gulung industri dampaknya angka pengangguran naik. pajak bertambah, industri gulung tikar. ayo. semangat pak purbaya...control terus semua","1"
"mantab menkeu...semoga ekonomi membaik dan memberantas korupsi di dirjen pajak,bea cukai dan lainnya dibawah kemekeu ... hand pink waving","50"
"pajak dan bea cukai uda baik bro","2"
"team costum di meja b.i tau mana pajak mana uang , apresiasi untuk ini jalur nya bank lokal jangan negara baru keluar ga masuk lagi 3 bulan itu pm semangat ken duri cabut mawar","1"
"menurut saya cukai rokok dinaikkan bukan solusi mengurangi perokok, karena para perokok lebih memilih beralih ke rokok yg lebih murah, tingwe, bahkan rokok yg tanpa cukai","12"
"mantap pak menteri....keren maju terus doa kami selalu menyertai para pemimpin yang jujur, adil, dan bijaksana.","1"
"ini baru menteri keuangan ri","11"
"ini baru mentri ! membantu keluar dari masalah dan mengidekan solusi , tetep fokus pada masalah dan pro rakyat ! keren ini !","0"
"keren kerjaanya detail di buka depan umum agar masyarakat faham..bukan kayak mentri sebelumnya yg dibicarakan pdb pdb pajak pajak pajak itu doang yg dibahas","10"
"iyaa pembicaraan dimengerti rakyat biasa, mentri sebelumnya klo ngomong yg ngerti cuma orang keuangan saja.","0"
"betul sih bang,jujur aja saya pribadi benar2 tak fahamlah istilah2 ekonomi,sampai browsing kadang kalau menteri sebelumnya,.","1"
"luar biasa walaupun gk merokok tapi kata2 yang keluar dari pak menteri langsung masuk ke hati dari kami orang kampung.. kata2nya bijak banget","0"
"bpk saya dari umur 15 th udah merokok dan sekarang 84 th...msh merokok... puji syukur sehat....dan saya dari 13 th skrg 53... merokok dan sehat... semoga cukainya turun dan harganya bisa turun jg","70"
"tetangga saya baru lahir langsung meninggal","1"
"apa cuma saya yg ngerokok aktif dari umur 6 tahun smpe 32 tahun","3"
"sy 130th masih eksis merokok","3"
"saya 1.870 tahun ga merokok","2"
"tetangga saya juga merokok","0"
"alm. abah sy perokok, meninggal di usia 78 tahun yg menurut dokter krn pengentalan darah akibat rokok. alm yg insyaa allah dipandang sbg sesepuh, salah 1 yg selalu dijadwal jd imam mushollah di lingkungan kami. gk suka makanan luar, hanya makan yg disiapkan almh mamah. minum jg hanya air putih. cuma kecanduan rokok aja yg gk bs alm hilangin. al fatihah utk alm almh. dan semoga bapak anda sehat², mas.","1"
"pak apa rasanya merokok. buat saya yg dulu perna merokok maknum sama samsu rasanya sama aja. bedanya di asap. magnum tarikan pelan asap banyak samsu tarikan sedang asap sedang. padahal gk ada rasanya tapi kenapa rokok orang beda beda. harganya pun lain lain.","0"
"tetangga sy umur 98 tahun tidak merokok . dan di sebelahnya umur 51 tahun meninggal krn rokok","0"
"saya 35 tahun perokok aktif kok sering sakit sakitan ya...? apakah itu suatu tanda?","0"
"kelihatannya apa adanya, blek blakan dari hati yg terdalam.. tulus utk kemajuan indonesia... saya dukung asal untuk kesejahteraan seluruh rakyat indonesia tak terkecualikan.. maju terus pak menkeu...","0"
"mantap ini mentri.. ..berarti dulu jmn mulyono dan mulyani era kegelapan","62"
"mulyono mulyani apa hidup ya lur.","3"
"dlu menaikan cukai rokok dgn dalih kesehatan agar bpjs gk membengkak pdhl mah dia cari dana utk menutupi keuangan drinsegala sektor tapi rakyat bwah pegawai rokok kena imbasnya","4"
"yang ngusulin purbaya pak jokowi. yg nyampain ke prabowo pak jokowi. liat tuh di youtube berserakan infonya. dasaarrrrrr","2"
"maaf bang, kami pelosok tetap bangga karna daerah kami merasakan perubahan yg baik","2"
"alhamdulillah....masih banyak orang2 pinter baik dinegeri ini, semoga makin banyak orang baik pinter di negeri ini","0"
"setuju cukai rokok turunkan tapiii anak sekolah di atur ketat gaboleh ketauan dapat beli rokok, maksimalkan pengawasan. jadinya dari segi kesehatan bisa lega dikit. hal ini mendasar tapi jarang tegas ke warung warung bahkan minimarket.","9"
"saya optimis pak purbaya bis bangkitkan ekonomi rakyat..tuhan berkati anda pa..semoga anda punya tujuan baik buat rakyat dan bangsa ini pak","0"
"berkah demo agustus kemaren punya menteri baru kaya gini","77"
"alhamdulilaah pa terima kasih walau saya bukan peroko tapi miris bila liat gudang garam nutup kasian banget dia jujur baik taat bayar pajak malah kalah sama yg palsu terima kasih pa menteri anda banyak menyelamatkan tenaga kerja yg begantung di sana sehat2 pa mentri","1"
"ini baru mentri cerdas","7"
"cukai naek roko ilegal aneh2 marak rakyat memilih toko ilegal krna murah tapi roko legal ditinggalkan perlahan hilang omset dan pabrik roko phk petani tembakau rugi , banyak kerugian dibidang ini , kdm pernah punya ide mengecilkan cukai roko dan ini sjlan dngn pak purbaya semoga sehat slalu pak menteri jujur dan amanah","3"
"ini menteri yg pakai logika...","16"
"satu saja mentri sperti ini buat kta terharu, mgkin allah sdah ijbah doa org² yg mghrapkan pmimpin adil .. aplagi klw sekabinet","0"
"bedanya purbaya dengan sri mulyani purbaya menyelesaikan masalah sri mulyani bikin masalah","67"
"katanya sri mulyani menteri keuangan terbaik di dunia .....?","0"
"maaf jangan gitu2 amat..kalau skarang p. purbaya awal kelihatan baik ya kita bahagia..mari kita2 ini belajar lebih baik menilai kinerja seseorang,, belum tentu kita lebih baik dari mereka..maaf lho,,","1"
"saya gk bisaa saya pelajari dulu,, wow,,, seorang menteri yg cerdas, gkbkayak nusron emang mbahmu bikin tanah","1"
"pengelolaan keuangan memang harus dari hati nurani, melahirkan kecerdasan dalam membuat kebijakan. kalau cuma bicara angka gak pake hati nurani, jadi firaun aja ... makasih pak mentri yang bekerja dengan hati nurani","5"
"banyk komentar yg positif ttg bliau, artinya mmg bagus n disukai rakyat.. smoga ide n gebrakan nya membawa dampak yg baik buat masyarakat.. aamiin","0"
"siapa yg liat berita ini sambil merokok","32"
"kami sebagai rakyat yang langsung terlibat dengan ekonomi kerakyatan mengatakan 1 turunkan pajak 2 turunkan pajak 3 turunkan pajak semua jenis pajak harus diturunkan, terutama pajak rokok. harus diturunkan","0"
"terkait peraturan tentang tembakau rokok itu permainan elit global, mereka iri dengan indonesia karena tembakau bisa tumbuh dengan baik sedangkan di tanah meraka sulit tumbuh. kasusnya sama dengan kelapa sawit","5"
"saya suka nungguin info tentang menkeu. serasa ikut kuliah pak purbaya. serasa dapat pencerahan.","12"
"senang banget klu menyimak cara penyampaian pa menkeu, tidak muluk2 tp terbersit rasa optimis, semiga je depan ekonomi indonesia semakin baik, aamiin","0"
"uwauw,,,uwauw,,,uwauw,,,,,,, ini menteri rrrrruuuuuarbiasa,,,","4"
"cukai rokok turunkan pak. biar industri tumbuh. soalnya itu penyerap tenaga terbanyak di jawa timur","3"
"betul pak kejar itu perusahaan yg produksi rokok palsu kasihan juga kalau rokok dikasih cukai yang tinggi","12"
"sebagai perpanjangan tangan pak prabowo di bidang keuangan, saya sangat senang dengan kehadiran bapak ini. mewakili pak prabowo banget untuk mensejahterakan rakyat","0"
"cukai rokok turun, harga rokok juga bakal turun. alhamdulillah jika nyata, akhirnya bisa ngerokok favorit lagi...","68"
"kayaknya cukai ga bakal turun, cuman diupayakan tidak ada penyelewengan. kalau diturunkan pasti ada demo berjilid jilid lagi. kan, mematikan industri rokok nasional itu agenda global. walau sebagai perokok, saya juga pengen turun","5"
"dlu marlboro msh bs dpt 20 30an...skg dah 50 eee","3"
"pasar rokok ilegalnya di tegasin bang.","3"
"sepertinya cukai gak akan turun. tapi pengusaha rokok akan diberi insentif lain. asal tahu saja, sekarang ini banyak rokok tanpa cukai yg berharga murah. artinya mereka gak bayar pajak. ngerti kaan","1"
"gw aja uda beralih suda 5 tahun ke rokok linting, beli tembakau lalu linting, lumayan mumer 65rb dpt 2ons tembakau kertas filter cukup sampe 10 12 hari , gak mampu beli samporna dkk terlalu mahal, terakhir gw ngerokok samporna di harga 12rb 16btg, pindah ke promild di harga 18rb, lumayan cocok dengan rokok linting lumayan byk varian rasa","0"
"saya penikmat rokok marlboro merah ice brust dari harga 20 an sampai sekarang , mana sehari habis 2 bungkus lagi , disini 54 ribu sebungkus , kadang2 kalo duitnya kurang sebungkusnya ganti sampoerna ... kalo terus naik bisa2 harganya sama seperti harga rokok import dari china nanti","0"
"cukai memang turun tapi harga rokok gak baklaan turun ,harga rokok itu naik tapi naik nya gak se drastis tahun2 kemaren ,masak rokok dari harga 18 rb 5 tahun jadi 26 rb ,kalo menteri yang sekarng mungkin selama 5 tahun yang tadinya 26 rb selama 5 tahun cuman naik 2 rb jadi 28 rb, cukai kan turun nya cuman 0.25 persen doang ,tapi itu sangat perpengaruh buat perusahaan kelas berat kayak gudang garam ,sampoerna dan wismilak.","0"
"marlboro merah tinggal kenangan,gue berharap bisa turun harganya,sekarang ngerokok kretek dji sam soe premium isi 12 btg..","0"
"sy biasa sampoerna mild,skrg jadi tenor","0"
"marlboro merah mahal","0"
"wkwkkw","1"
"inih baru mentri ekonomi. jujur apa adanya maju terus pak. rakyat bersama mu","0"
"bapak purbaya sangat cerdas dan bijaksana","5"
"pak purbaya sebenarnya bukan koboi, beliau justru sangat detail memandang sesuatu dari berbagai aspek . tetapi cara berpikirnya sangat simpel dan praktis serta cepat mengambil keputusan yang baik. pasti nilai matematika nya tinggi.","0"
"jadi siapa dong fir'aun nya,,,,cukai mahal tidak mengurangi jumlah perokok,,yang ada perokok pindah ke rokok ilegal yang tanpa cukai,, semoga dengan bapak jadi menteri indonesia menjadi lebih baik","14"
"itu cuma akal""an modus ingin mengurangi perokok tapi cukai segitu mahalnya cuma bikin kaya pejabat","0"
"pake nanya siapa","0"
"pak purbaya sikap nya adem ketawa di lihat tidak beban pikiran kami bahagia bersama mu pak purbaya sukses selalu","0"
"naikin cukai untuk supaya tidak ada yg merokok,,tapi kenyataannya jumlah perokok makin banyak.. kebijakan srimulyani salah total","8"
"hanya alibi saja itu. pada intinya hanya ingin menaikkan pajak","0"
"nah..ini gw suka.. mentri ngomongnya gk kaku..apa adanya yg pnting visi dan misinya jelas..keren pak..mudah2an gk terpengaruh dgn koruptor pak..smg pak mentri ttp amanah","0"
"seru juga nih menteri","5"
"gileeee nih si abang .. santai dalam berbahasa namun bermakna dan akan membawa terobosan","0"
"mohon dengan sangat bapak,,,cukai rokok lokal diturunkan, karena rokok favorit tetap yg lokal, tapi terkadang harus membeli rokok2 ilegal karena harga lebih murah, tapi rasa tetap lokal punya...dan bila benar diturunkan, secara tidak langsung membantu juga buat para karyawan rokok lokal tetap bekerja.","4"
